,task,num_simulations,num_observation,algorithm,seed,C2ST,C2ST_Z,MMD,MMD_Z,MEDDIST,C2ST_1K,C2ST_1K_Z,MMD_1K,MMD_1K_Z,MEDDIST_1K,NLTP,RT,KSD,KSD_1K,num_simulations_simulator,path,folder
472,two_moons,100000,4,SMC-ABC,2881447416,0.50575,0.68635,9.3758106e-05,9.3340874e-05,0.09254372,0.495,0.5,-0.00033783913,-0.00033700466,0.09398488,,0.07750009695688884,,,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/11,11
473,two_moons,10000,7,SMC-ABC,2905112823,0.59535,0.6659,0.0022886992,0.0022909641,0.09169896,0.501,0.644,0.0012722015,0.0012710094,0.0912237,,0.020920976003011068,inf,inf,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/19,19
474,two_moons,1000,10,SMC-ABC,3824061920,0.81665,0.9118,0.020308852,0.020330906,0.13078898,0.7565,0.901,0.025802493,0.025929928,0.12546837,,0.009075196584065755,inf,inf,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/27,27
475,two_moons,10000,1,SMC-ABC,996027791,0.736,0.735,0.0044163465,0.0044168234,0.092785075,0.5395,0.5455,0.004802823,0.004803419,0.09518914,,0.13024099667867026,inf,inf,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/1,1
476,two_moons,1000,4,SMC-ABC,2834941728,0.87545,0.8971,0.022212863,0.02225852,0.15475899,0.8525,0.8605,0.001948595,0.001957655,0.15425277,,0.1236892064412435,inf,inf,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/9,9
477,two_moons,100000,9,SMC-ABC,2019886825,0.514,0.67495,0.0010492802,0.0010491014,0.09266353,0.512,0.523,0.0010356307,0.0010359883,0.089592025,,0.062032771110534665,inf,inf,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/26,26
478,two_moons,1000,2,SMC-ABC,3809912770,0.92405,0.92665,0.0025525093,0.0025470257,0.166181,0.9025,0.904,0.0012439489,0.0012396574,0.16366395,,0.12201027075449626,,,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/3,3
479,gaussian_linear,100000,10,REJ-ABC,2267321004,0.86705,0.8426,0.07535547,0.07530421,1.8034592,0.8185,0.8315,0.0751704,0.07545358,1.8273969,,0.010282214482625325,12.32716278446504,10.028189662760287,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/29,29
480,gaussian_linear,1000,7,REJ-ABC,3516663306,0.9082,0.9045,0.12094039,0.12085855,1.7620032,0.877,0.876,0.11888313,0.11855644,1.7424337,,0.004856332143147787,12.811508968157087,10.50598150533824,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/18,18
481,gaussian_linear,100000,8,REJ-ABC,2443956514,0.83875,0.82185,0.072924316,0.0732159,1.8583053,0.7935,0.7885,0.07355982,0.0763728,1.8576694,,0.007123192151387532,12.307181977698836,10.053065077125352,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/23,23
482,gaussian_linear,10000,10,REJ-ABC,1733166667,0.8787,0.8696,0.09556466,0.09567088,1.8578227,0.848,0.8525,0.09420276,0.09525019,1.8805566,,0.008168665568033855,12.615928002377698,10.321999183443465,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/28,28
483,gaussian_linear,10000,5,REJ-ABC,3623044889,0.8368,0.82535,0.03829062,0.03838694,1.5148152,0.782,0.789,0.037696302,0.038101792,1.5195407,,0.0054121255874633786,11.579378152921016,9.265170260236777,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/13,13
484,gaussian_linear,10000,8,REJ-ABC,1558830598,0.9062,0.90155,0.13463539,0.13518703,1.9741863,0.8815,0.888,0.14082348,0.14764422,1.9738622,,0.004512886206309001,13.041694650488296,10.803794115513712,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/22,22
485,gaussian_linear,1000,3,REJ-ABC,1872374785,0.91035,0.9093,0.12094253,0.120271266,1.8090425,0.871,0.894,0.11320168,0.11320454,1.7980092,,0.11630616188049317,12.874163829983955,10.530092739680871,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/6,6
486,gaussian_linear,10000,6,REJ-ABC,1102056868,0.81545,0.8038,0.036192775,0.036170363,1.5197659,0.762,0.7575,0.039232492,0.039172173,1.535723,,0.004725460211435954,11.585720804570089,9.376046656456914,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/16,16
487,gaussian_linear,100000,5,REJ-ABC,1211009723,0.789,0.7732,0.019668221,0.019764304,1.430503,0.719,0.738,0.021517396,0.021957159,1.4319155,,0.005398968855539958,10.93576023241496,8.739882719677578,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/14,14
488,gaussian_linear,10000,2,REJ-ABC,3612120953,0.85305,0.84155,0.060890257,0.061021566,1.6745682,0.812,0.8185,0.064132094,0.06476599,1.6699673,,0.12736549377441406,12.103493258945203,9.839255011248614,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/4,4
489,gaussian_linear,100000,7,REJ-ABC,899149292,0.82975,0.8199,0.048525333,0.048496485,1.6064892,0.77,0.78,0.049604535,0.049788773,1.6012856,,0.0063489794731140135,11.876536101292432,9.59394977466487,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/20,20
