task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
two_moons,10⁴,8,100 .5 .5 KDE,0.72685,0.0044767857,0.093735166,,0.03574352661768596,inf,3879f16f-44f2-447e-b618-f8da7c18a40d
bernoulli_glm_raw,10⁴,4,100 .5 .5,0.9986,0.16839564,3.6055512,,0.05541870594024658,11.587476845946586,8ea63091-f9ad-4e69-8096-754af7a65da7
gaussian_linear_uniform,10³,8,100 .5 .2 KDE,0.98095,0.3539945,2.3065343,,0.02049745321273804,7.2775590810582225,2cd3ba20-9dfb-42cf-a492-abb7113e41b7
slcp_distractors,10⁵,2,1000 2 .8 KDE,0.98855,0.26532608,378.61868,,2.111934534708659,,c32ebf2f-5ed7-41a9-ae9f-5f340f3dc09c
two_moons,10⁴,9,1000 2 .5 KDE,0.93795,0.028012455,0.17242762,,0.06829752922058105,inf,071adddd-a4d9-4685-adce-0dcee62e0dbd
sir,10³,3,100 2 .2,0.9853,0.526001,58.583275,,0.4302383422851562,17.93854519567952,56ea4a5d-57f2-4715-ad3b-3d02e10d37c7
two_moons,10⁴,10,1000 2 .8 KDE,0.9634,0.24294001,0.2784981,,0.07899416287740071,,aef734e7-8552-43af-80ae-77a085777e54
slcp,10⁵,8,100 .5 .2,0.9985,0.06342006,23.644592000000006,,0.1986145814259847,39.545481576221036,7960ac8d-bcbf-4d99-9ff2-80d8b731835a
bernoulli_glm_raw,10⁵,10,100 .5 .5,0.99975,0.4067887,5.2915025,,0.3975457509358724,12.7810866979085,52650b0b-cac1-4cb4-8f50-a3dce054182a
bernoulli_glm,10³,9,100 .5 .5 KDE,0.97585,0.27195776,19.07891,,0.030293953418731687,11.138010027254882,9e503704-ea19-46c0-8b03-0a6a7d1dba67
two_moons,10⁴,9,1000 .5 .8,0.9482,0.0384323,0.1859813,,0.03299931287765503,inf,4ae33aa5-a042-470b-884d-4a27a2eeeb66
two_moons,10⁵,6,100 .5 .2 KDE,0.63285,0.0013563633,0.09406141,,0.08425169785817464,,1fbf79aa-cfea-4d3a-ab2a-042cd788db97
lotka_volterra,10⁵,1,100 2 .5 KDE,0.99455,0.46387762,14.713412,,22.73602905273437,20.027867043407415,ffa9b535-6d6f-4f70-ac5d-ae6fa3fc66f6
lotka_volterra,10⁵,2,1000 2 .5,0.99995,0.5521824000000001,20.318172,,11.391897583007813,21.57964060584613,1368ec7d-2e33-44ce-bb91-61a73bc47295
