task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
two_moons,10⁵,4,NPE-NSF,0.51355,-0.00210011,0.087000504,-2.5877578258514404,23.648429361979165,,145a4ae4-bdb7-4552-8452-327781e93568
gaussian_mixture,10⁵,3,SNPE-NSF,0.5264,-0.0013723373,1.1253779,,341.22626953125,8.996314069450106,219b288f-92f4-459b-be19-cb6e99be1a1e
bernoulli_glm_raw,10⁴,7,SNPE-MAF,0.68625,0.034374356,4.7958317,,,12.072074629768293,9d668631-fc8e-4cee-a9d8-180df7530b2a
gaussian_linear,10³,7,SNPE-NSF,0.63775,0.020113945,1.4532809,,2.916254425048828,11.294316442124384,04615499-d459-4984-8041-03d6db8201cd
lotka_volterra,10³,10,NPE-NSF,0.99965,0.5474095999999999,164.80148,-5.568285942077637,0.8273512522379557,21.32805202109911,64329947-e64f-403a-b764-4b9469089820
lotka_volterra,10⁵,2,NPE-MAF,0.9783,0.47628787,21.790974,-13.472201347351074,,19.41264776609765,c0914cbe-0e7d-4ad4-b908-0fda1017a19e
slcp_distractors,10⁴,7,NPE-NSF,0.9786,0.11226523,1076.7769,12.76565933227539,6.491854858398438,,1d1d8994-8308-4eb3-ad28-d0e8397dd5cf
lotka_volterra,10⁴,9,SNPE-NSF,0.93985,0.25355422,39.68799600000001,,,19.89483109402676,910b5573-db42-402a-850b-7a2087649b45
two_moons,10⁵,3,NPE-NSF,0.55825,-0.00864315,0.092289805,-3.737605094909668,17.684041341145832,inf,abdc8610-87a4-4010-88c6-f17a9351153a
bernoulli_glm,10⁵,3,NPE-MAF,0.57905,0.010039806,11.100255,4.8758697509765625,,11.766098697936132,2724e510-9038-483f-84ca-9c31bf422d16
gaussian_mixture,10³,10,SNPE-MAF,0.7855,0.017656803000000002,0.7625045,,,9.07376113940262,86a58479-cf2e-4c69-80db-330adfd6d0fa
sir,10³,10,NPE-NSF,0.82205,0.22387677,42.649734,-6.276741981506348,0.933767827351888,14.47886243431829,b0b5cbbf-747e-4e03-a0f0-1bbab4468f3f
bernoulli_glm,10⁴,2,SNPE-MAF,0.5406,0.002497673,11.85113,,,11.959214871595993,3352dd51-3f35-42b9-9cdc-2d364ad8129d
gaussian_linear,10³,10,SNPE-NSF,0.66965,0.026528,1.5851594,,2.9849367777506512,11.647989170503454,453d09c5-e854-4e1e-97d2-2f07cca2de20
lotka_volterra,10⁴,4,NPE-MAF,0.9999,0.6178465,374.13593,4.628223419189453,,23.739750825535946,571a7bb9-4b51-4ffc-866f-8d7fc8c999ae
bernoulli_glm,10³,6,NPE-MAF,0.8126,0.1255542,14.242501999999998,6.110910415649414,,11.572905926418738,8a250e32-cd67-464c-abed-40e6643a19d2
gaussian_mixture,10⁵,5,NPE-MAF,0.74045,0.05249077,1.2674713,2.2971150875091557,,8.067258005114963,7a81dca2-afc1-49ae-a2cb-67a41a56bb23
gaussian_linear_uniform,10⁴,5,NPE-MAF,0.58025,0.007702708199999998,1.3181604999999998,0.7433949112892151,,5.668334555556675,e1487143-d5e2-4053-8d84-b834401473f3
slcp_distractors,10⁴,2,NPE-NSF,0.9733,0.14699113,381.3319,8.655753135681152,4.088327026367187,,1f1b8146-5cf4-4a53-a538-7b2ea2942b70
slcp,10⁴,1,NPE-MAF,0.94375,0.03538096,16.991782999999998,9.886255264282227,,36.697783799822595,44a8d359-fecb-47ce-b88c-adc2f6bc4874
bernoulli_glm,10³,4,SNPE-MAF,0.8333,0.22501153,11.027304,,,12.92787501631377,6b790739-cf06-4af2-9b29-03c98fb759a1
bernoulli_glm,10⁴,10,SNPE-NSF,0.60045,0.012786031000000002,14.825734,,40.23382161458333,12.253279270849225,ae89db35-f76f-492c-a635-9b36d8503313
gaussian_linear_uniform,10⁴,2,NPE-NSF,0.5559,0.004970193,1.4239881,0.7119874954223633,5.709375508626303,4.853657922938699,fe648d2b-b429-40f8-aaa2-0157fcfed4a9
gaussian_linear,10⁵,6,SNPE-NSF,0.5019,0.00013935566000000002,1.3313786,,413.3001953125,6.360845378300387,af4f713c-229e-4a9c-b4eb-d9250cadd816
gaussian_linear,10⁵,8,NPE-MAF,0.5223,0.0028591156,1.5496476,-2.6935272216796875,,9.457520164418575,65e27e8d-f10e-4c1e-a352-9abf50761243
lotka_volterra,10³,3,SNPE-MAF,0.97365,0.40344405,18.048653,,,19.367175584376266,125e0e07-ecdd-4038-a51c-5aa7b987ea4b
slcp,10⁵,3,SNPE-MAF,0.81405,0.011723638,25.691584,,,35.57473208828519,e4ac56a5-fb7c-495a-9ad2-ff2244263c64
gaussian_linear_uniform,10⁴,7,NPE-MAF,0.563,0.0043147802,1.2876086000000002,-0.929054856300354,,5.626087816488892,475b9191-22b0-4c89-bf77-9d55c64bc6d2
gaussian_mixture,10⁴,9,NPE-MAF,0.7285,0.05666101,1.3432283,1.313204646110535,,8.743842111739438,fe4bdce5-5180-43c6-bbfd-bc881b9abd10
bernoulli_glm_raw,10³,10,NPE-MAF,0.9979,0.5721944999999999,6.244998000000002,9.247325897216797,,9.972961235081579,35d06288-33b4-4d04-82b5-e168bf8b4b0e
gaussian_linear_uniform,10⁴,2,SNPE-MAF,0.54475,0.0032578707,1.3911741000000002,,,4.662419423481225,af7390df-775b-4783-b297-41230518708e
slcp,10³,6,NPE-NSF,0.96015,0.13953269,10.749443,8.293497085571289,0.21943031946818034,36.07973887339252,53cc5f38-5779-41ac-9f5a-cde4f6085780
