task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
slcp_distractors,10³,5,SNRE-RES,0.97355,0.25554383,896.6975,,7.328493754069012,,8f981657-c7d1-4642-b1c0-c5ec9c3043e8
bernoulli_glm,10³,9,NRE-MLP,0.88415,0.30351890000000004,15.558416,,5.626973978678385,10.099460626888076,23f20c19-c758-4e07-a7c5-c20d19bca661
gaussian_mixture,10³,6,SNRE-MLP,0.68645,0.0005977154,1.0375503,,3.3108088175455728,8.52470282341341,bf212937-2516-4396-9600-9463f3a6c22b
slcp,10⁵,5,NRE-RES,0.9619,0.1898222,17.700094,,198.66946614583333,36.87076377304374,3b6b733a-1b53-4789-a28f-99226c7c317d
slcp_distractors,10⁴,3,NRE-MLP,0.9092,0.052137733,387.03668,,8.102850850423177,,4b00e75f-dadc-4164-bb90-9fa58b3cc10a
lotka_volterra,10⁵,3,NRE-RES,0.9971,0.49828756,20.937088,,,20.12647210997321,4ba29e67-e5b5-4db1-8412-8dcec490933a
bernoulli_glm_raw,10⁵,7,SNRE-MLP,0.55025,0.004988909000000001,4.7958317,,109.01798502604169,11.6894455255819,7426876d-4076-40fe-9b73-0b50218213f4
bernoulli_glm_raw,10³,9,SNRE-MLP,0.70965,0.043749332,3.3166248999999994,,12.58280537923177,11.47236662332222,682f9a0b-5c5e-4e62-a3de-4672e30c2e60
lotka_volterra,10⁴,10,SNRE-RES,0.8314,0.12631762,20.713531,,10.635665893554688,21.682350735729777,63d9eb99-85c3-4939-88ee-9d63f933d8ca
sir,10⁵,3,NRE-MLP,0.81965,0.25855744,30.813957,,167.38658854166667,16.9717901236158,2221494f-28e4-444a-9caf-a75e0229a2b9
gaussian_linear_uniform,10³,10,SNRE-MLP,0.70665,0.019937992,1.4228828000000002,,14.094680786132812,6.629760928647442,27986290-a04a-492b-ac71-3fd05573d297
slcp_distractors,10³,1,SNRE-MLP,0.99215,0.26545858,894.6170699999999,,7.942848714192707,,5d935a8e-dd02-4846-a0c1-33bc9fbfaef1
lotka_volterra,10⁵,9,SNRE-MLP,0.6958,0.026714444,30.11567,,,17.535056841008096,3f734553-3c79-4abb-af57-df38c768d9ac
lotka_volterra,10⁴,2,NRE-MLP,0.99945,0.548891,44.953323,,,19.904049681957645,223cd172-9595-4363-9a0f-3e1b4801e4fc
lotka_volterra,10⁵,8,SNRE-MLP,0.8558,0.049311936,16.947964000000002,,,18.920444126121488,6466d9d7-0e14-49a1-87a5-06817f935627
